city_id,City,Country,City ID,Cloudiness,Humidity,Longitude,Latitude,Max Temp,Wind Speed
0,farah,AF,1142263,0,23,62.5,32.5,74.05,2.37
1,tagab,AF,1123424,40,52,69.65,34.85,75.2,0.51
2,yellowknife,CA,6185377,90,88,-114.35,62.46,64.4,3.36
3,namibe,AO,3347019,1,89,12.15,-15.2,62.01,3.18
4,ushuaia,AR,3833367,75,74,-68.3,-54.8,37.4,4.52
5,bluff,NZ,2206939,95,88,168.33,-46.6,48.0,5.99
6,sibolga,ID,1213855,74,63,98.78,1.74,83.43,1.99
7,starkville,US,4447161,1,83,-88.82,33.45,81.0,4.32
8,tiksi,RU,2015306,99,86,128.87,71.69,48.22,7.18
9,najran,SA,103630,100,44,44.13,17.49,80.6,9.17
10,cherskiy,RU,2126199,100,90,161.3,68.75,48.72,8.63
11,marawi,PH,1701054,44,77,124.29,8.0,82.0,5.99
12,saskylakh,RU,2017155,100,87,114.08,71.92,58.33,10.67
13,bera,BD,1209562,100,79,89.62,24.08,84.31,7.27
14,sistranda,NO,3139597,75,100,8.83,63.73,57.2,5.82
15,vaini,TO,4032243,20,64,-175.2,-21.2,75.2,6.93
16,iskateley,RU,866062,99,92,53.15,67.68,50.72,7.87
17,jamestown,US,5122534,1,77,-79.24,42.1,66.99,6.93
18,catuday,PH,1717787,78,76,119.81,16.29,82.8,11.25
19,la libertad,EC,3655131,40,88,-80.9,-2.23,68.0,8.05
20,hilo,US,5855927,90,83,-155.09,19.73,78.8,6.93
21,rikitea,PF,4030556,0,74,-134.97,-23.12,70.07,18.95
22,husavik,IS,2629833,90,81,-17.34,66.04,48.2,5.82
23,nikolskoye,RU,546105,40,100,30.79,59.7,57.0,6.71
24,talnakh,RU,1490256,75,76,88.4,69.49,53.6,15.66
25,ostrovnoy,RU,556268,100,92,39.51,68.05,51.21,2.57
26,hofn,IS,2630299,19,87,-15.21,64.25,51.67,10.6
27,nanortalik,GL,3421765,100,90,-45.24,60.14,45.52,3.36
28,cayenne,GF,3382160,25,100,-52.33,4.93,77.0,3.36
29,bredasdorp,ZA,1015776,53,93,20.04,-34.53,35.6,5.82
30,hobart,AU,2163355,20,57,147.33,-42.88,52.0,8.05
31,goderich,CA,5962442,0,84,-81.72,43.75,66.0,6.67
32,vardo,NO,777019,91,86,31.11,70.37,52.43,6.76
33,mayya,RU,2020121,68,43,130.28,61.73,71.6,2.24
34,pevek,RU,2122090,100,96,170.31,69.7,38.44,11.81
35,north bend,US,5742974,1,77,-124.22,43.41,70.0,23.04
36,lahij,YE,6201197,100,40,44.58,13.17,88.09,0.27
37,upernavik,GL,3418910,100,70,-56.15,72.79,40.55,7.72
38,hudson bay,CA,5978133,30,82,-102.38,52.85,66.36,9.82
39,busselton,AU,2075265,74,43,115.33,-33.65,60.01,21.0
40,ningbo,CN,1799397,96,66,121.55,29.88,90.0,11.18
41,ixtapa,MX,4004293,75,84,-105.2,20.7,86.0,3.36
42,dikson,RU,1507390,99,99,80.55,73.51,45.03,17.07
43,albany,US,5106841,100,83,-73.97,42.6,73.0,4.25
44,dobryanka,RU,565778,75,100,56.42,58.46,57.2,4.47
45,grants pass,US,5729080,1,24,-123.33,42.44,80.01,14.99
46,bengkulu,ID,1649150,53,75,102.27,-3.8,82.72,1.92
47,ziyang,CN,1790863,100,69,117.85,29.25,87.78,3.18
48,kapaa,US,5848280,90,74,-159.32,22.08,84.2,12.75
49,arlit,NE,2447513,84,64,7.39,18.74,82.54,13.4
50,padang,ID,1633419,73,57,100.35,-0.95,84.09,0.89
51,codrington,AU,2171099,100,89,141.97,-38.27,50.31,14.32
52,rzhyshchiv,UA,694992,0,82,31.05,49.97,64.99,8.95
53,mataura,NZ,6201424,91,88,168.86,-46.19,48.0,5.99
54,marsa matruh,EG,352733,0,88,27.25,31.35,75.2,5.82
55,mar del plata,AR,3430863,0,100,-57.56,-38.0,48.0,7.11
56,provideniya,RU,4031574,66,58,-173.3,64.38,51.35,6.85
57,bethel,US,5282297,75,77,-73.41,41.37,69.8,4.7
58,korla,CN,1529376,72,21,86.15,41.76,86.76,10.92
59,fairbanks,US,5861897,40,35,-147.72,64.84,71.6,9.17
60,airai,TL,1651810,32,55,125.41,-8.93,72.68,2.68
61,wajir,KE,178443,96,72,40.06,1.75,70.57,12.55
62,sitka,US,5557293,90,87,-135.33,57.05,57.2,12.75
63,san isidro,PE,3929631,90,87,-77.05,-12.12,59.0,4.7
64,cocorit,MX,4013593,0,53,-109.97,27.58,92.53,8.3
65,norrtalje,SE,2688250,11,77,18.7,59.76,66.99,3.0
66,port alfred,ZA,964432,45,69,26.89,-33.59,54.5,8.25
67,labuhan,ID,8079926,100,69,112.21,-6.88,80.64,6.58
68,chokurdakh,RU,2126123,100,81,147.92,70.63,52.14,11.92
69,coquimbo,CL,3893629,0,87,-71.34,-29.95,51.8,1.12
70,georgetown,MY,1735106,20,83,100.34,5.41,86.0,4.7
71,new norfolk,AU,2155415,14,71,147.06,-42.78,52.0,1.99
72,bella union,UY,3443631,89,80,-57.6,-30.28,65.19,5.28
73,tuktoyaktuk,CA,6170031,75,87,-133.04,69.45,55.4,13.87
74,cabo san lucas,MX,3985710,5,69,-109.91,22.89,87.01,11.41
75,castro,BR,3466704,8,70,-50.01,-24.79,53.4,2.64
76,barrow,US,5880054,90,86,-156.79,71.29,41.0,12.75
77,medea,DZ,2488835,0,88,2.75,36.26,64.4,1.9
78,ozerna,UA,698110,100,93,25.33,49.63,64.31,6.11
79,kaduqli,SD,373141,100,85,29.72,11.02,73.62,5.46
80,punta arenas,CL,3874787,57,64,-70.92,-53.15,37.4,9.17
81,saint-philippe,RE,935215,20,59,55.77,-21.36,66.2,9.17
82,gigmoto,PH,1712961,100,84,124.39,13.78,79.54,8.61
83,salalah,OM,286621,90,94,54.09,17.02,77.0,3.36
84,bathsheba,BB,3374083,40,78,-59.52,13.22,82.4,20.8
85,aksu,CN,1529660,0,23,80.26,41.12,86.99,5.64
86,haines junction,CA,5969025,29,53,-137.51,60.75,58.62,11.63
87,klaksvik,FO,2618795,23,93,-6.59,62.23,51.8,3.36
88,alofi,NU,4036284,3,69,-169.92,-19.06,75.2,6.93
89,faanui,PF,4034551,0,74,-151.75,-16.48,79.0,13.73
90,ponta do sol,PT,2264557,20,78,-17.1,32.67,71.6,2.24
91,malakal,SS,370737,100,88,31.66,9.53,72.39,2.82
92,saint-joseph,RE,6690296,20,59,55.62,-21.37,66.2,9.17
93,pangnirtung,CA,6096551,97,53,-65.71,66.15,47.03,2.84
94,dicabisagan,PH,1715015,4,60,122.42,17.08,87.64,1.88
95,khatanga,RU,2022572,100,80,102.5,71.97,56.88,17.22
96,dingle,PH,1714733,94,82,122.67,11.0,82.92,11.3
97,rawson,AR,3839307,98,60,-65.1,-43.3,47.64,16.89
98,oxapampa,PE,3933874,4,80,-75.4,-10.58,56.46,3.67
99,xam nua,LA,1652203,67,82,104.04,20.42,77.22,0.16
100,kautokeino,NO,779330,61,79,23.04,69.01,48.16,1.9
101,sarkhej,IN,1257149,75,88,72.5,22.98,80.6,3.36
102,east london,ZA,1006984,49,69,27.91,-33.02,54.1,9.31
103,makarov,RU,2123614,1,59,142.8,48.63,66.15,1.52
104,atambua,ID,1651103,93,53,124.89,-9.11,82.98,1.07
105,atuona,PF,4020109,21,74,-139.03,-9.8,78.98,23.02
106,sechura,PE,3691954,10,77,-80.82,-5.56,62.53,16.24
107,nizwa,OM,286987,100,49,57.53,22.93,84.81,3.44
108,riyadh,SA,108410,100,21,46.72,24.69,84.2,4.7
109,port elizabeth,ZA,964420,76,93,25.57,-33.92,46.4,3.36
110,uglegorsk,RU,2120261,63,73,142.03,49.08,59.68,12.75
111,debelec,BG,6460811,11,88,25.62,43.03,66.2,2.24
112,tasiilaq,GL,3424607,21,75,-37.64,65.61,44.6,18.34
113,qaanaaq,GL,3831208,0,79,-69.36,77.48,36.72,4.45
114,komsomolskiy,UZ,1513491,0,42,71.72,40.43,80.6,4.7
115,victoria,HK,1819729,97,62,114.16,22.29,91.0,10.0
116,lebu,CL,3883457,100,88,-73.65,-37.62,47.7,6.55
117,san ramon,US,5392593,1,36,-121.98,37.78,82.0,11.41
118,celestun,MX,3531368,100,72,-90.4,20.87,83.8,13.29
119,bairiki,KI,7601762,75,74,172.98,1.33,87.8,10.29
120,port blair,IN,1259385,100,86,92.75,11.67,80.44,12.71
121,konya,TR,306569,0,36,32.5,38.17,64.4,4.7
122,qandala,SO,53157,48,56,49.87,11.47,86.99,7.38
123,zhigansk,RU,2012530,83,49,123.37,66.77,63.21,14.83
124,taltal,CL,3870243,39,79,-70.48,-25.4,55.11,1.77
125,kodiak,US,5866583,90,82,-152.41,57.79,57.2,1.54
126,margate,GB,2643044,56,44,1.39,51.38,75.99,9.1
127,tilichiki,RU,2120591,2,47,166.1,60.47,62.47,11.5
128,umm kaddadah,SD,364933,92,59,26.69,13.6,83.1,5.59
129,hualmay,PE,3939761,13,81,-77.61,-11.1,60.08,8.14
130,toora-khem,RU,1489401,100,86,96.11,52.47,53.78,2.26
131,madras,IN,1264527,40,62,80.28,13.09,87.8,5.82
132,tres arroyos,AR,3833859,49,62,-60.28,-38.37,43.63,5.44
133,hermanus,ZA,3366880,8,43,19.23,-34.42,53.01,1.99
134,hithadhoo,MV,1282256,49,79,73.08,-0.6,82.62,11.61
135,zamosc,PL,753866,1,100,23.25,50.72,64.4,4.7
136,cabedelo,BR,3404558,20,94,-34.83,-6.98,71.6,6.93
137,butaritari,KI,2110227,11,73,172.79,3.07,84.18,18.03
138,horsham,GB,2646557,92,68,-0.33,51.06,69.8,5.82
